epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,108.08,0.76966,0.50284,0.92057,0.96979,0.98206,0.995,0.82177,0.80354,0.37694,0.92003,0.00026161,0.00026161,0.00026161
66,109.823,0.80643,0.48254,0.93427,0.97033,0.97834,0.995,0.8167,0.81338,0.37966,0.92229,0.000254541,0.000254541,0.000254541
67,111.008,0.77747,0.52632,0.95721,0.96325,0.98897,0.995,0.81685,0.81445,0.37916,0.91951,0.000247472,0.000247472,0.000247472
68,112.743,0.77964,0.51218,0.9023,0.9735,0.98925,0.995,0.80818,0.81034,0.37693,0.91793,0.000240404,0.000240404,0.000240404
69,114.146,0.77922,0.46536,0.91359,0.9735,0.98925,0.995,0.80818,0.81034,0.37693,0.91793,0.000233335,0.000233335,0.000233335
70,115.319,0.81967,0.47651,0.94111,0.97387,0.99407,0.995,0.82263,0.805,0.36453,0.91644,0.000226267,0.000226267,0.000226267
71,116.658,0.7696,0.4831,0.92273,0.97524,0.99776,0.995,0.82065,0.81058,0.3568,0.91667,0.000219198,0.000219198,0.000219198
72,117.882,0.77494,0.50726,0.92032,0.97503,0.99772,0.995,0.81742,0.82903,0.35541,0.92666,0.000212129,0.000212129,0.000212129
73,119.068,0.76483,0.50539,0.92689,0.97503,0.99772,0.995,0.81742,0.82903,0.35541,0.92666,0.000205061,0.000205061,0.000205061
74,120.243,0.75464,0.47962,0.91766,0.97434,1,0.995,0.81931,0.82373,0.3457,0.9222,0.000197992,0.000197992,0.000197992
75,121.414,0.77584,0.50646,0.93246,0.97444,1,0.995,0.81297,0.81539,0.34078,0.91752,0.000190924,0.000190924,0.000190924
76,122.637,0.74337,0.46893,0.9371,0.97953,1,0.995,0.81963,0.81421,0.34042,0.91199,0.000183855,0.000183855,0.000183855
77,123.86,0.74205,0.46419,0.91414,0.97953,1,0.995,0.81963,0.81421,0.34042,0.91199,0.000176786,0.000176786,0.000176786
78,125.446,0.79548,0.51415,0.94048,0.97951,1,0.995,0.82344,0.81036,0.33888,0.91277,0.000169718,0.000169718,0.000169718
79,126.856,0.74976,0.45451,0.89667,0.97514,1,0.995,0.82183,0.81673,0.34615,0.91421,0.000162649,0.000162649,0.000162649
80,128.073,0.77042,0.49816,0.91261,0.97489,1,0.995,0.82782,0.81947,0.34547,0.91687,0.000155581,0.000155581,0.000155581
